state,min_age,max_age,conditions,sector,scheme_name,skills_offered,documents_needed,offered_by
Odisha,16,46,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,18,25,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Telangana,3,42,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Himachal Pradesh,15,61,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Goa,23,62,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Punjab,10,44,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Bihar,25,48,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Maharashtra,8,22,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Mizoram,12,27,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,2,38,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Bihar,15,34,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Maharashtra,25,31,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,18,45,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Gujarat,21,31,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Nagaland,12,43,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Madhya Pradesh,14,49,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,25,63,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Rajasthan,22,56,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Telangana,10,40,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttarakhand,25,58,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Rajasthan,10,16,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,19,52,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,6,12,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Sikkim,18,47,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Himachal Pradesh,24,60,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Nagaland,7,14,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Manipur,14,37,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
West Bengal,23,49,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Meghalaya,20,35,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Nagaland,25,30,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Sikkim,19,59,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Meghalaya,7,13,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Gujarat,25,42,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Goa,8,26,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Karnataka,13,42,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Maharashtra,13,39,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Madhya Pradesh,3,17,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Mizoram,9,64,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,5,43,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,1,55,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Jharkhand,25,46,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Manipur,4,12,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Rajasthan,0,47,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Tamil Nadu,9,63,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Mizoram,16,65,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,16,41,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttarakhand,17,65,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Mizoram,19,55,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Goa,17,51,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Tamil Nadu,22,62,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttarakhand,10,28,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
West Bengal,17,41,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,14,26,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Bihar,22,47,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Bihar,1,61,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,20,30,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Tamil Nadu,3,13,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Manipur,1,34,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Rajasthan,3,50,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,20,64,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Uttarakhand,20,31,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,15,43,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
West Bengal,8,16,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
West Bengal,4,18,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Arunachal Pradesh,10,52,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Maharashtra,24,31,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Sikkim,20,56,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Maharashtra,13,23,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Odisha,22,52,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Jharkhand,7,65,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Madhya Pradesh,2,26,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,10,49,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Manipur,24,65,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,7,13,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Tripura,18,50,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,7,58,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Uttar Pradesh,20,50,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Bihar,15,30,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,18,36,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Chhattisgarh,9,19,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Punjab,8,14,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Maharashtra,13,52,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Jharkhand,12,41,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Bihar,7,12,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Odisha,25,58,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Tamil Nadu,10,52,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Rajasthan,5,39,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Telangana,8,42,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
West Bengal,18,41,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Arunachal Pradesh,5,48,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Haryana,13,58,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Chhattisgarh,8,19,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Andhra Pradesh,2,50,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Punjab,20,55,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,18,49,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Haryana,17,48,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Odisha,4,37,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Manipur,24,37,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,13,56,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Meghalaya,20,57,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Rajasthan,4,59,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Goa,8,39,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Jharkhand,13,38,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,10,28,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Maharashtra,0,45,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Madhya Pradesh,8,36,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Madhya Pradesh,4,17,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Bihar,5,52,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Mizoram,21,40,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,23,65,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Jharkhand,14,65,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Rajasthan,24,53,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Bihar,10,39,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Gujarat,0,65,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttarakhand,21,26,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Telangana,0,43,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Mizoram,13,39,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Uttarakhand,1,31,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,9,51,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tamil Nadu,20,34,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Sikkim,2,37,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Manipur,5,37,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Chhattisgarh,22,61,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,12,17,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Andhra Pradesh,0,14,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Manipur,13,53,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Karnataka,1,8,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Gujarat,19,50,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,19,27,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Chhattisgarh,3,19,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Madhya Pradesh,22,35,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Rajasthan,12,45,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Rajasthan,2,25,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Haryana,10,15,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Andhra Pradesh,17,34,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Bihar,0,21,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Rajasthan,14,39,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Punjab,10,34,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Tripura,23,31,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttar Pradesh,2,8,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Chhattisgarh,18,48,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Telangana,11,28,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Tamil Nadu,8,62,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Punjab,24,31,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Chhattisgarh,20,29,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Odisha,20,46,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttarakhand,6,12,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Goa,25,46,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,20,45,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Andhra Pradesh,9,45,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Nagaland,17,60,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Jharkhand,7,39,"Top 1% in 12th board, pursuing science UG",Education,Inspire Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Sikkim,19,32,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Odisha,22,42,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Uttarakhand,22,40,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Arunachal Pradesh,5,24,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Mizoram,14,24,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Telangana,3,65,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,14,65,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Mizoram,10,41,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,11,33,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
Andhra Pradesh,3,44,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Nagaland,16,42,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Andhra Pradesh,24,65,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttar Pradesh,16,55,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Madhya Pradesh,19,53,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Odisha,21,34,"Annual income below ₹2 lakh, 12th marks ≥ 60%",Education,Post-Matric Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Kerala,16,27,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,21,59,For hospital patients’ welfare,Healthcare,Rogi Kalyan Samiti,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
